scorer_short_name,nationality_name,total_game_changing_goals,avg_elo_improvement,fc26_overall_rating
Juan Fernando Quintero,Colombia,1,34.0,77.0
Juan Flores Madariaga,,2,No Elo Data,
Juan Francisco Barraza,,1,No Elo Data,
Juan Fuenmayor,,1,No Elo Data,
Juan González,,1,No Elo Data,
Juan Gutiérrez Moreno,,1,No Elo Data,
Juan Hohberg,,2,No Elo Data,
Juan José Muñante,,1,No Elo Data,
Juan Maglio,,1,No Elo Data,
Juan Manuel Asensi,,4,No Elo Data,
Juan Manuel Funes,,2,No Elo Data,
Juan Manuel Vargas,,2,No Elo Data,
Juan Marvezzi,,1,No Elo Data,
Juan Mata,,2,No Elo Data,
Juan Maximiliano Pablo,,1,No Elo Data,
Juan Pablo Sorín,,2,No Elo Data,
Juan Pablo Vargas,,2,No Elo Data,
Juan Pablo Ángel,,6,No Elo Data,
Juan Pajuelo,,1,No Elo Data,
Juan Pedro Riephoff,,1,No Elo Data,
Juan Ramón Martínez,,3,No Elo Data,
Juan Reynoso Guzmán,,1,No Elo Data,
Juan Rodrigo Rojas,,1,No Elo Data,
Juan Román Riquelme,,7,No Elo Data,
Juan Sebastián Verón,,2,No Elo Data,
Juan Seminario,,1,No Elo Data,
Juan Soto Quiros,,1,No Elo Data,
Juan Ulloa,,4,No Elo Data,
Juanito,,3,No Elo Data,
Juary Soares,,1,No Elo Data,
Judd Molea,,1,No Elo Data,
Jude Bellingham,,6,No Elo Data,
Jude Ssemugabi,,1,No Elo Data,
Judelin Aveska,,1,No Elo Data,
Juhani Peltonen,,2,No Elo Data,
Julani Archibald,,1,No Elo Data,
Julen Guerrero,,3,No Elo Data,
Jules Alberto,,2,No Elo Data,
Jules Bocandé,,1,No Elo Data,
Jules Lagadeau,,1,No Elo Data,
Julian Draxler,,3,No Elo Data,
Julian Johnsson,,1,No Elo Data,
Julian Ryerson,Norway,1,116.0,79.0
Julian Wade,,1,No Elo Data,
Julian de Guzman,,2,No Elo Data,
Juliano Belletti,,2,No Elo Data,
Julien Cools,,2,No Elo Data,
Julien Escudé,,1,No Elo Data,
Julio Crisosto,,1,No Elo Data,
Julio César Baldivieso,,5,No Elo Data,
Julio César Cortés,,2,No Elo Data,
Julio César Romero,,5,No Elo Data,
Julio César Uribe,,1,No Elo Data,
Julio César de León,,2,No Elo Data,
Julio Dely Valdés,,7,No Elo Data,
Julio Enciso,,2,No Elo Data,
Julio Francia,,1,No Elo Data,
Julio Gallardo,,1,No Elo Data,
Julio Libonatti,,3,No Elo Data,
Julio Meléndez,,1,No Elo Data,
Julio Morales,,2,No Elo Data,
Julio Palacios Lozano,,1,No Elo Data,
Julio Ramírez,,1,No Elo Data,
Julio Rodas,,2,No Elo Data,
Julio Salinas,,5,No Elo Data,
Julio dos Santos,Brazil,1,-18.0,76.0
Julius Aghahowa,,7,No Elo Data,
Julius James,,1,No Elo Data,
Julián Alvarez,Argentina,2,5.0,87.0
Julián Quiñones,,2,No Elo Data,
Julián Álvarez,,2,No Elo Data,
Juma Bah,Sierra Leone,1,No Elo Data,72.0
Juma Marzouq,,1,No Elo Data,
Jumah Salem Joher,,1,No Elo Data,
Jung Jae-Kwon,,1,No Elo Data,
Jung Seung-hyun,,1,No Elo Data,
Jung Yong-Hwan,,1,No Elo Data,
Junichi Inamoto,,1,No Elo Data,
Juninho Bacuna,,2,No Elo Data,
Juninho Pernambucano,,1,No Elo Data,
Junior Agogo,,3,No Elo Data,
Junior Arteaga,,1,No Elo Data,
Junior David,,1,No Elo Data,
Junior Flemmings,,1,No Elo Data,
Junior Hoilett,,2,No Elo Data,
Junior Kabananga,,2,No Elo Data,
Junior Pukoku,,1,No Elo Data,
Junior Tchamadeu,,1,No Elo Data,
Junior Waziri,,1,No Elo Data,
Junya Ito,,2,No Elo Data,
Jupp Heynckes,,1,No Elo Data,
Juraj Kucka,,3,No Elo Data,
Juraj Szikora,,1,No Elo Data,
Jurgen Degabriele,,3,No Elo Data,
Jurica Jerković,,2,No Elo Data,
Jurijs Ševļakovs,,1,No Elo Data,
Jurijs Žigajevs,,1,No Elo Data,
Juris Laizāns,,7,No Elo Data,
Juriën Gaari,,1,No Elo Data,
Just Fontaine,,4,No Elo Data,
Justin Garcia,,1,No Elo Data,
Justin Hubner,,1,No Elo Data,
Justin Manao,,1,No Elo Data,
Justo Ruiz,,1,No Elo Data,
Juvenal Edjogo-Owono,,2,No Elo Data,
Juvenal Olmos,,2,No Elo Data,
Jyrki Nieminen,,1,No Elo Data,
Jákup Andreasen,,1,No Elo Data,
Ján Greguš,,2,No Elo Data,
Ján Kozák,,1,No Elo Data,
Ján Čapkovič,,3,No Elo Data,
Ján Ďurica,,2,No Elo Data,
János Farkas,,6,No Elo Data,
János Hrutka,,1,No Elo Data,
János Mátyus,,2,No Elo Data,
Jérémy Ménez,,1,No Elo Data,
Jérôme Boateng,,1,No Elo Data,
Jérôme Doté,,1,No Elo Data,
Jóan Símun Edmundsson,,3,No Elo Data,
Jóannes Bjartalíð,Faroe Islands,1,No Elo Data,64.0
Jóhann Berg Guðmundsson,Iceland,3,No Elo Data,71.0
Jóhannes Eðvaldsson,,1,No Elo Data,
Jón Dagur Þorsteinsson,Iceland,2,No Elo Data,69.0
Jón Daði Böðvarsson,,2,No Elo Data,
Jón Rói Jacobsen,,1,No Elo Data,
Józef Wandzik,,1,No Elo Data,
József Eisenhoffer,,1,No Elo Data,
József Horváth,,1,No Elo Data,
József Kardos,,1,No Elo Data,
József Kiprich,,3,No Elo Data,
József Pecsovszky,,1,No Elo Data,
József Póczik,,1,No Elo Data,
József Sebők,,1,No Elo Data,
József Szalma,,1,No Elo Data,
Júlio Baptista,,1,No Elo Data,
Júlio Botelho,,3,No Elo Data,
Júlio Tavares,,2,No Elo Data,
Júnior Alonso,,1,No Elo Data,
Júnior Díaz,,1,No Elo Data,
Jürgen Grabowski,,1,No Elo Data,
Jürgen Klinsmann,,12,No Elo Data,
Jürgen Nöldner,,3,No Elo Data,
Jürgen Sparwasser,,1,No Elo Data,
Jānis Ikaunieks,,3,No Elo Data,
Jānis Rozītis,,1,No Elo Data,
Jānis Škincs,,1,No Elo Data,
K. Appalaraju,,1,No Elo Data,
Kaan Ayhan,Turkey,4,31.67,76.0
Kaba Diawara,,2,No Elo Data,
Kabamba Musasa,,1,No Elo Data,
Kabelo Seakanyeng,,1,No Elo Data,
Kadhim Waal,,1,No Elo Data,
Kagiso Dikgacoi,,1,No Elo Data,
Kahraba,,1,No Elo Data,
Kai Havertz,,9,No Elo Data,
Kai Merk,,1,No Elo Data,
Kai Sjøberg,,1,No Elo Data,
Kaies Ghodhbane,,1,No Elo Data,
Kaimar Saag,,1,No Elo Data,
Kairat Ashirbekov,,1,No Elo Data,
Kairat Nurdauletov,,1,No Elo Data,
Kaiser Hamid,,1,No Elo Data,
Kaj Poulsen,,1,No Elo Data,
Kakha Gogoladze,,2,No Elo Data,
Kakha Kaladze,,1,No Elo Data,
Kakoko Etepé,,4,No Elo Data,
Kaká,,8,No Elo Data,
Kaleem Simon,,1,No Elo Data,
Kalidou Koulibaly,Senegal,2,39.5,82.0
Kalifa Coulibaly,,1,No Elo Data,
Kaliova Bulinaceva,,1,No Elo Data,
Kalusha Bwalya,,8,No Elo Data,
Kama Dumbuya,,1,No Elo Data,
Kamel Seddik,,1,No Elo Data,
Kamil Al Aswad,,2,No Elo Data,
Kamil Glik,,4,No Elo Data,
Kamil Grosicki,Poland,5,No Elo Data,74.0
Kamil Jóźwiak,,1,No Elo Data,
Kamil Piątkowski,,1,No Elo Data,
Kamo Hovhannisyan,,1,No Elo Data,
Kamory Doumbia,Mali,1,No Elo Data,74.0
Kane Crichlow,,1,No Elo Data,
Kang Chul,,1,No Elo Data,
Kang Kuk-chol,,1,No Elo Data,
Kanga Akalé,,2,No Elo Data,
Kanika Matondo,,1,No Elo Data,
Kanku Mulekelayi,,1,No Elo Data,
Kaoru Mitoma,Japan,1,91.0,82.0
Kara Mbodji,,2,No Elo Data,
Karel Mustmaa,,1,No Elo Data,
Karel Poborský,,4,No Elo Data,
Karen Dokhoyan,,1,No Elo Data,
Karim Abdul Razak,,2,No Elo Data,
Karim Ansarifard,,4,No Elo Data,
Karim Bagheri,,9,No Elo Data,
Karim Bavi,,3,No Elo Data,
Karim Benzema,France,9,10.8,85.0
Karim Boudiaf,Qatar,2,-45.0,71.0
Karim Haggui,,1,No Elo Data,
Karim Kamanzi,,1,No Elo Data,
Karim Matmour,,2,No Elo Data,
Karim Mohammed Allawi,,1,No Elo Data,
Karl Etta Eyong,,1,No Elo Data,
Karl Hein,,2,No Elo Data,
Karl Hohmann,,1,No Elo Data,
Karl Namnganda,,2,No Elo Data,
Karl Odermatt,,3,No Elo Data,
Karl Stotz,,1,No Elo Data,
Karl Toko Ekambi,,5,No Elo Data,
Karl-Erik Palmér,,1,No Elo Data,
Karl-Heinz Riedle,,1,No Elo Data,
Karl-Heinz Rummenigge,,9,No Elo Data,
Karl-Heinz Schnellinger,,1,No Elo Data,
Karlheinz Förster,,1,No Elo Data,
Karol Jokl,,3,No Elo Data,
Karol Linetty,Poland,1,No Elo Data,73.0
Karol Świderski,,9,No Elo Data,
Karolis Laukžemis,,2,No Elo Data,
Karrar Jassim,,2,No Elo Data,
Kasey Palmer,,1,No Elo Data,
Kaspars Dubra,,1,No Elo Data,
Kaspars Gorkšs,,4,No Elo Data,
Kasper Dolberg,Denmark,3,No Elo Data,77.0
Kasper Hämäläinen,,2,No Elo Data,
Kasper Høgh,,1,No Elo Data,
Kassaly Daouda,,1,No Elo Data,
Kassim M'Dahoma,,2,No Elo Data,
Kassoum Ouédraogo,,2,No Elo Data,
Katlego Mphela,,2,No Elo Data,
Kayrat Zhyrgalbek uulu,,1,No Elo Data,
Kazimierz Deyna,,3,No Elo Data,
Kazushi Kimura,,3,No Elo Data,
Kazuyoshi Miura,,7,No Elo Data,
Keanu Baccus,,1,No Elo Data,
Kebede Metaferia,,1,No Elo Data,
Kees Kist,,4,No Elo Data,
Kees van Kooten,,1,No Elo Data,
Kei Kamara,,1,No Elo Data,
Keiji Tamada,,3,No Elo Data,
Keijo Kousa,,1,No Elo Data,
Keisuke Honda,,10,No Elo Data,
Keita Baldé,Senegal,2,17.0,70.0
Keita Karamokoba,,1,No Elo Data,
Keith Andrews,,1,No Elo Data,
Keith Douglas,,1,No Elo Data,
Keith Fahey,,1,No Elo Data,
Keith Gillespie,,1,No Elo Data,
Keith Gumbs,,1,No Elo Data,
Keith Nelson,,3,No Elo Data,
Keith Rowland,,1,No Elo Data,
Keithroy Freeman,,2,No Elo Data,
Keito Nakamura,Japan,3,5.0,76.0
Kelechi Iheanacho,,3,No Elo Data,
Kelly Peters,,1,No Elo Data,
Kelvin Berassa,,1,No Elo Data,
Kelvin Mutale,,1,No Elo Data,
Kelvin Sebwe,,4,No Elo Data,
Kema Jack,,1,No Elo Data,
Kemar Lawrence,,1,No Elo Data,
Kemar Roofe,,1,No Elo Data,
Kembo Uba Kembo,,3,No Elo Data,
Kenan Karaman,Turkey,2,-26.0,73.0
Kenan Yıldız,Turkey,2,57.5,79.0
Kendall Velox,,1,No Elo Data,
Kendall Waston,,3,No Elo Data,
Kenlyn Gonsalves,,1,No Elo Data,
Kennedy Chihuri,,1,No Elo Data,
Kennedy Mweene,,1,No Elo Data,
Kennet Andersson,,5,No Elo Data,
Kenneth Brylle Larsen,,1,No Elo Data,
Kenneth Malitoli,,2,No Elo Data,
Kenneth Olayombo,,1,No Elo Data,
Kenneth Omeruo,,1,No Elo Data,
Kenneth Thompson,,1,No Elo Data,
Kenny Cooper,,2,No Elo Data,
Kenny Dalglish,,8,No Elo Data,
Kenny McLean,,2,No Elo Data,
Kenny Miller,,5,No Elo Data,
Kenny Rocha Santos,,1,No Elo Data,
Kensi Tangis,,1,No Elo Data,
Kent Nielsen,,1,No Elo Data,
Kenwin McPhee,,1,No Elo Data,
Kenwyne Jones,,7,No Elo Data,
Keo Sokpheng,,1,No Elo Data,
Keon Daniel,,2,No Elo Data,
Kerem Aktürkoğlu,Turkey,6,33.0,80.0
Kerem Demirbay,Germany,1,71.0,74.0
Kerim Alajbegović,,1,No Elo Data,
Kermit Erasmus,,1,No Elo Data,
Kerry Jamerson,,2,No Elo Data,
Kerry Skepple,,1,No Elo Data,
Kervens Belfort,,3,No Elo Data,
Kevin Archer,,1,No Elo Data,
Kevin Csoboth,Hungary,1,No Elo Data,66.0
Kevin Davies,,1,No Elo Data,
Kevin De Bruyne,Belgium,13,3.71,87.0
Kevin Doyle,,4,No Elo Data,
Kevin Edward,,1,No Elo Data,
Kevin Gallacher,,5,No Elo Data,
Kevin Gameiro,,1,No Elo Data,
Kevin Ingreso,,1,No Elo Data,
Kevin Kampl,Slovenia,1,No Elo Data,77.0
Kevin Keegan,,8,No Elo Data,
Kevin Kilbane,,3,No Elo Data,
Kevin Kurányi,,2,No Elo Data,
Kevin Lafrance,,2,No Elo Data,
Kevin López,,1,No Elo Data,
Kevin Malget,,1,No Elo Data,
Kevin McKenna,,2,No Elo Data,
Kevin Molino,,5,No Elo Data,
Kevin Muscat,,2,No Elo Data,
Kevin Rodríguez,,2,No Elo Data,
Kevin Sheedy,,2,No Elo Data,
Kevin Strootman,,1,No Elo Data,
Kevin Wilson,,1,No Elo Data,
Kewullay Conteh,,2,No Elo Data,
Keysher Fuller,,1,No Elo Data,
Khaibar Amani,,1,No Elo Data,
Khairul Amri,,2,No Elo Data,
Khalaf Al-Mutairi,,1,No Elo Data,
Khaled Al-Doseri,,1,No Elo Data,
Khaled Badra,,4,No Elo Data,
Khaled Elfallah,,1,No Elo Data,
Khaled Ibrahim,,1,No Elo Data,
Khaled Korbi,,1,No Elo Data,
Khaled Lounici,,1,No Elo Data,
Khaled Massad,,6,No Elo Data,
Khaled Mobayed,,1,No Elo Data,
Khaled Mouelhi,,1,No Elo Data,
Khaled Saad,,1,No Elo Data,
Khaleel Mubarak,,1,No Elo Data,
Khaleem Hyland,,2,No Elo Data,
Khalfan Ibrahim,,3,No Elo Data,
Khalfan Mubarak,,1,No Elo Data,
Khalid Ahmed Elmustafa,,1,No Elo Data,
Khalid Al-Hajri,,1,No Elo Data,
Khalid Al-Temawi,,1,No Elo Data,
Khalid Boutaïb,,1,No Elo Data,
Khalid Ismaïl,,1,No Elo Data,
Khalid Labied,,2,No Elo Data,
Khalid Raghib,,1,No Elo Data,
Khalid Salman,,1,No Elo Data,
Khalifa Al Hammadi,,2,No Elo Data,
Khalil Al-Malki,,4,No Elo Data,
Khalil Bani Attiah,,1,No Elo Data,
Khalil Ibrahim,Saudi Arabia,1,-29.0,55.0
Khalilou Fadiga,,1,No Elo Data,
Khama Billiat,,1,No Elo Data,
Khamees Saad Mubarak,,2,No Elo Data,
Khamis Eid,,1,No Elo Data,
Khamis Eid Rafe Thani,,1,No Elo Data,
Khamis Mubarak,,1,No Elo Data,
Khampheng Sayavutthi,,1,No Elo Data,
Khan Thatat Songwuti,,1,No Elo Data,
Khandoker Wasim Iqbal,,1,No Elo Data,
Khano Smith,,1,No Elo Data,
Khodadad Azizi,,4,No Elo Data,
Khojiakbar Alijonov,,1,No Elo Data,
Khoren Oganesian,,1,No Elo Data,
Khoun Laboravy,,2,No Elo Data,
Khristiyan Brauzman,,1,No Elo Data,
Khuda Muyaba,,1,No Elo Data,
Khvicha Kvaratskhelia,Georgia,8,No Elo Data,87.0
Khürelbaataryn Tsend-Ayuush,,1,No Elo Data,
Ki Sung-yueng,,2,No Elo Data,
Kiatisuk Senamuang,,7,No Elo Data,
Kick Smit,,3,No Elo Data,
Kidumu Mantantu,,2,No Elo Data,
Kieffer Moore,,8,No Elo Data,
Kieran Tierney,Scotland,2,16.0,77.0
Kiko,Portugal,1,-1.0,65.0
Kily González,,3,No Elo Data,
Kily Álvarez,,1,No Elo Data,
Kim Bo-Kyung,,1,No Elo Data,
Kim Bok-man,,1,No Elo Data,
Kim Chi-Woo,,2,No Elo Data,
Kim Christofte,,1,No Elo Data,
Kim Do-heon,,2,No Elo Data,
Kim Do-hoon,,2,No Elo Data,
Kim Gwan-Mo,,1,No Elo Data,
Kim Ho-Kon,,1,No Elo Data,
Kim Jae-han,,2,No Elo Data,
Kim Jin-gyu,,1,No Elo Data,
Kim Jin-su,,2,No Elo Data,
Kim Jong-Boo,,1,No Elo Data,
Kim Joo-sung,,1,No Elo Data,
Kim Jung-woo,,1,No Elo Data,
Kim Kwang-min,,1,No Elo Data,
Kim Kyong-il,,1,No Elo Data,
Kim Källström,,7,No Elo Data,
Kim Min-jae,,1,No Elo Data,
Kim Nam-il,,1,No Elo Data,
Kim Pan-Keun,,1,No Elo Data,
Kim Pung-Il,,2,No Elo Data,
Kim Sang-sik,,1,No Elo Data,
Kim Seung-il,,1,No Elo Data,
Kim Shin-wook,,1,No Elo Data,
Kim Sung-hye,,1,No Elo Data,
Kim Suominen,,1,No Elo Data,
Kim Vilfort,,4,No Elo Data,
Kim Yong-Nam,,2,No Elo Data,
Kim Yong-Se,,1,No Elo Data,
Kim Young-gwon,,2,No Elo Data,
Kim Yu-song,,1,No Elo Data,
Kingsley Coman,,2,No Elo Data,
Kinitoni Falatau,,1,No Elo Data,
Kiril Despodov,,5,No Elo Data,
Kirk Broadfoot,,1,No Elo Data,
Kit Leong Cheong,,1,No Elo Data,
Kit Symons,,2,No Elo Data,
Kiyika Tokodi,,2,No Elo Data,
Kjell Kristiansen,,1,No Elo Data,
Kjetil Osvold,,1,No Elo Data,
Kjetil Rekdal,,8,No Elo Data,
Klaas-Jan Huntelaar,,11,No Elo Data,
Klas Ingesson,,3,No Elo Data,
Klaus Allofs,,5,No Elo Data,
Klaus Berggreen,,1,No Elo Data,
Klaus Fichtel,,1,No Elo Data,
Klaus Fischer,,4,No Elo Data,
Klaus Gjasula,,1,No Elo Data,
Klaus-Dieter Sieloff,,1,No Elo Data,
Kleanthis Vikelidis,,2,No Elo Data,
Klemen Lavrič,,3,No Elo Data,
Klemi Saban,,1,No Elo Data,
Klodian Duro,,2,No Elo Data,
Klæmint Olsen,,4,No Elo Data,
Knowledge Musona,,6,No Elo Data,
Knut Hansson,,1,No Elo Data,
Knut Kroon,,2,No Elo Data,
Ko Jeong-woon,,1,No Elo Data,
Ko Po Keung,,1,No Elo Data,
Kobenan Kouman,,2,No Elo Data,
Koen Daerden,,1,No Elo Data,
Koffi Kossi,,1,No Elo Data,
Koichi Hashiratani,,1,No Elo Data,
Koji Nakata,,2,No Elo Data,
Kokos Antoniou,,1,No Elo Data,
Kokouni Akpalo Gnavor,,1,No Elo Data,
Kolbeinn Sigþórsson,,7,No Elo Data,
Kole Hall,,1,No Elo Data,
Komlan Amewou,,1,No Elo Data,
Komlan Assignon,,1,No Elo Data,
Komron Tursunov,,1,No Elo Data,
Konan Yoboué,,1,No Elo Data,
Konrad Laimer,Austria,4,2.75,82.0
Konstantin Vassiljev,,9,No Elo Data,
Konstantin Zyryanov,,2,No Elo Data,
Konstantinos Galanopoulos,,1,No Elo Data,
Konstantinos Karetsas,Greece,1,No Elo Data,70.0
Konstantinos Mitroglou,,4,No Elo Data,
Koo Ja-cheol,,5,No Elo Data,
Kornel Saláta,,1,No Elo Data,
Kossi Noutsoudje,,1,No Elo Data,
Kostas Batsinilas,,1,No Elo Data,
Kostas Davourlis,,1,No Elo Data,
Kostas Fortounis,,3,No Elo Data,
Kostas Frantzeskos,,1,No Elo Data,
Kostas Katsouranis,,1,No Elo Data,
Kostas Manolas,,1,No Elo Data,
Kostas Mavridis,,1,No Elo Data,
Kostas Mitroglou,,1,No Elo Data,
Kouch Sokumpheak,,1,No Elo Data,
Kouligo Zoma,,1,No Elo Data,
Kpah Sherman,,1,No Elo Data,
Krasimir Balakov,,5,No Elo Data,
Krassimir Chomakov,,1,No Elo Data,
Kresten Bjerre,,2,No Elo Data,
Kris Bouckenooghe,,1,No Elo Data,
Krishanu Dey,,1,No Elo Data,
Krissada Piandit,,1,No Elo Data,
Kristen Viikmäe,,1,No Elo Data,
Kristers Tobers,Latvia,1,No Elo Data,68.0
Kristian Hlynsson,,1,No Elo Data,
Kristian Laferla,,1,No Elo Data,
Kristian Thorstvedt,Norway,2,-30.0,75.0
Kristijan Jakić,Croatia,2,46.0,76.0
Kristjan Asllani,Albania,4,No Elo Data,74.0
Kristján Örn Sigurðsson,,1,No Elo Data,
Kristofer Hæstad,,1,No Elo Data,
Krisztián Lisztes,Hungary,1,No Elo Data,67.0
Kroekrit Thaweekarn,,1,No Elo Data,
Krzysztof Piątek,Poland,4,No Elo Data,78.0
Krzysztof Warzycha,,1,No Elo Data,
Ku Kam Fai,,1,No Elo Data,
Kubilay Türkyilmaz,,8,No Elo Data,
Kudakwashe Mahachi,,1,No Elo Data,
Kuliwa Tshikalu,,1,No Elo Data,
Kunishige Kamamoto,,1,No Elo Data,
Kurniawan Dwi Yulianto,,1,No Elo Data,
Kurt Frederick,,1,No Elo Data,
Kurt Hamrin,,4,No Elo Data,
Kurt Jara,,7,No Elo Data,
Kurt Müller,,1,No Elo Data,
Kurt Welzl,,1,No Elo Data,
Kusini Yengi,,3,No Elo Data,
Kwadwo Asamoah,,1,No Elo Data,
Kwadwo Duah,,1,No Elo Data,
Kwak Tae-hwi,,2,No Elo Data,
Kwame Ayew,,2,No Elo Data,
Kwame Quee,,1,No Elo Data,
Kwame Steede,,1,No Elo Data,
Kwasi Owusu,,5,No Elo Data,
Kwok Ka-ming,,1,No Elo Data,
Kwon Chang-hoon,,1,No Elo Data,
Kwon Kyung-won,,1,No Elo Data,
Kyaw Ko Ko,,1,No Elo Data,
Kyaw Zayar Win,,1,No Elo Data,
Kyle Beckerman,,1,No Elo Data,
Kyle Lafferty,,6,No Elo Data,
Kyle Lightbourne,,2,No Elo Data,
Kyle Martino,,1,No Elo Data,
Kyle Walker,,2,No Elo Data,
Kylian Mbappé,France,23,18.38,91.0
Kyriakos Papadopoulos,,1,No Elo Data,
Kyrian Nwoko,,1,No Elo Data,
Kálmán Kovács,,1,No Elo Data,
Kálmán Mészöly,,3,No Elo Data,
Kári Reynheim,,1,No Elo Data,
Kári Árnason,,2,No Elo Data,
Károly Sándor,,2,No Elo Data,
Kévin Bru,,1,No Elo Data,
Kévin Denkey,Togo,3,No Elo Data,77.0
Kévin Fortuné,,1,No Elo Data,
Kévin Parsemain,,3,No Elo Data,
Köbi Kuhn,,2,No Elo Data,
Kōki Ogawa,Japan,1,-16.0,68.0
La'Vere Corbin-Ong,,1,No Elo Data,
Labama Bokota,,1,No Elo Data,
Lachezar Tanev,,2,No Elo Data,
Lacina Traoré,,2,No Elo Data,
Ladislao Kubala,,1,No Elo Data,
Ladislav Krejčí,Czechia,3,No Elo Data,78.0
Ladislav Kuna,,2,No Elo Data,
Ladislav Petráš,,1,No Elo Data,
Ladislav Vízek,,4,No Elo Data,
Ladislav Šimůnek,,1,No Elo Data,
Laisiasa Gataurua,,2,No Elo Data,
Laith Hussein,,3,No Elo Data,
Lajos Détári,,5,No Elo Data,
Lajos Kocsis,,2,No Elo Data,
Lajos Sătmăreanu,,1,No Elo Data,
Lajos Tichy,,5,No Elo Data,
Lakhdar Belloumi,,5,No Elo Data,
Lakis Glezos,,1,No Elo Data,
Lakis Papaioannou,,1,No Elo Data,
Lalaïna Nomenjanahary,,2,No Elo Data,
Lameck Banda,Zambia,1,No Elo Data,71.0
Lamin Conteh,,1,No Elo Data,
Lamine Diatta,,2,No Elo Data,
Lamine Yamal,Spain,3,58.33,89.0
Lamnao Singto,,1,No Elo Data,
Landon Donovan,,10,No Elo Data,
Landry N'Guémo,,1,No Elo Data,
Lantame Ouadja,,1,No Elo Data,
Larrymore Bedford,,1,No Elo Data,
Lars Bender,,1,No Elo Data,
Lars Elstrup,,2,No Elo Data,
Lars Granström,,1,No Elo Data,
Lars Jacobsen,,1,No Elo Data,
Lars Olsen,,1,No Elo Data,
Lars Stindl,,2,No Elo Data,
Laryea Kingston,,1,No Elo Data,
Lasaad Abdelli,,1,No Elo Data,
Lascelles Dunkley,,1,No Elo Data,
Lasse Schøne,,1,No Elo Data,
Lasse Vibe,,1,No Elo Data,
Lassina Diabaté,,1,No Elo Data,
Lassina Traoré,,3,No Elo Data,
Lassine Sinayoko,Mali,3,No Elo Data,74.0
Lau Wing Yip,,3,No Elo Data,
Laughter Chilembe,,1,No Elo Data,
Lauren,England,1,80.0,73.0
Laurent Blanc,,4,No Elo Data,
Laurent Pokou,,2,No Elo Data,
Laurenţiu Roşu,,1,No Elo Data,
Lautaro Martínez,,12,No Elo Data,
Lawrence Shankland,Scotland,1,49.0,73.0
Lazar Samardžić,Serbia,1,No Elo Data,75.0
Lazaros Christodoulopoulos,,1,No Elo Data,
Leandro Bacuna,,2,No Elo Data,
Leandro Barreiro,Luxembourg,1,No Elo Data,77.0
Leandro Trossard,Belgium,2,-61.0,83.0
Leart Paqarada,,1,No Elo Data,
Lee Casciaro,,2,No Elo Data,
Lee Chun-soo,,2,No Elo Data,
Lee Chung-yong,,2,No Elo Data,
Lee Dong-gook,,9,No Elo Data,
Lee Eul-yong,,1,No Elo Data,
Lee Hak-Jong,,1,No Elo Data,
Lee Jae-sung,,5,No Elo Data,
Lee Jeong-hyeop,,1,No Elo Data,
Lee Jung-hyup,,2,No Elo Data,
Lee Jung-il,,1,No Elo Data,
Lee Jung-soo,,2,No Elo Data,
Lee Kang-Jo,,1,No Elo Data,
Lee Kang-in,,4,No Elo Data,
Lee Keun-ho,,4,No Elo Data,
Lee Ki-Bum,,1,No Elo Data,
Lee Kin Wo,,1,No Elo Data,
Lee Min-sung,,1,No Elo Data,
Lee Sang-yoon,,2,No Elo Data,
Lee Tae-ho,,2,No Elo Data,
Lee Wilkie,,1,No Elo Data,
Lee Yi-woo,,1,No Elo Data,
Lee Young-Moo,,1,No Elo Data,
Lee Young-pyo,,1,No Elo Data,
Lefter Küçükandonyadis,,1,No Elo Data,
Leger Djime,,2,No Elo Data,
Lehlohonolo Fothoane,,1,No Elo Data,
Lehlomela Ramabele,,1,No Elo Data,
Lei Clijsters,,1,No Elo Data,
Leigh Griffiths,,1,No Elo Data,
Leighton James,,2,No Elo Data,
Leintz Domingue,,2,No Elo Data,
Lejuan Simmons,,1,No Elo Data,
Lennart Bunke,,2,No Elo Data,
Lennart Skoglund,,1,No Elo Data,
Leo Houtsonen,,1,No Elo Data,
Leo Skiri Østigård,Norway,1,1.0,73.0
Leocadio Marín,,4,No Elo Data,
Leon Andreasen,,1,No Elo Data,
Leon Bailey,,2,No Elo Data,
Leon Balogun,,1,No Elo Data,
Leon Goretzka,,5,No Elo Data,
Leon Goua G'Bize,,1,No Elo Data,
Leonard Farrugia,,1,No Elo Data,
Leonard Piątek,,1,No Elo Data,
Leonard Wells,,1,No Elo Data,
Leonardo Araújo,,2,No Elo Data,
Leonardo Bonucci,,3,No Elo Data,
Leonardo Rodríguez,,2,No Elo Data,
Leonardus Ghering,,2,No Elo Data,
Leonel Duarte,,1,No Elo Data,
Leonel Hernández,,4,No Elo Data,
Leonel Moreira,,1,No Elo Data,
Leonel Sánchez,,4,No Elo Data,
Leong Ka Hang,,1,No Elo Data,
Leonid Buryak,,2,No Elo Data,
Leonid Koshelev,,1,No Elo Data,
Leonson Lewis,,2,No Elo Data,
Leopold Grausam,,2,No Elo Data,
Leopold Kielholz,,1,No Elo Data,
Leopoldo Barba,,1,No Elo Data,
Leopoldo Luque,,2,No Elo Data,
Leotis Boateng,,1,No Elo Data,
Leroy Fer,,1,No Elo Data,
Leroy Sané,,2,No Elo Data,
Les Ferdinand,,1,No Elo Data,
Lesly St. Fleur,,1,No Elo Data,
Lester Moré,,5,No Elo Data,
Lester Peltier,,1,No Elo Data,
Levan Kobiashvili,,3,No Elo Data,
